ingredient,current_stock,unit,expiry_date,unit_price,minimum_stock,planned_order,storage_type,last_used_date
두부,1000,kg,2026-10-03,3000.0,0,0,refrigerated,2026-09-18
두부,1000,kg,2026-10-04,3000.0,0,0,refrigerated,2026-09-18
계란,1000,kg,2026-10-05,6100.0,0,0,refrigerated,2026-09-18
닭고기,1000,kg,2026-10-06,9000.0,0,0,refrigerated,2026-09-18
돼지고기,1000,kg,2026-10-07,10000.0,0,0,frozen,2026-09-18
양파,1000,kg,2026-10-08,2000.0,0,0,ambient,2026-09-18
간장,1000,kg,2026-10-09,4000.0,0,0,ambient,2026-09-18
양배추,1000,kg,2026-10-10,1800.0,0,0,refrigerated,2026-09-18
버섯,1000,kg,2026-10-11,5000.0,0,0,refrigerated,2026-09-18
소금,1000,kg,2026-10-12,1000.0,0,0,ambient,2026-09-18
소고기,1000,kg,2026-10-13,30000.0,0,0,frozen,2026-09-18
