date,menu,meat_v1,meat_v2,soup_v1,soup_v2,scope,main_dish_label,main_dish_status,review_type,review_note
2016-02-01,"쌀밥/잡곡밥 (쌀,현미흑미:국내산) 오징어찌개  쇠불고기 (쇠고기:호주산) 계란찜  청포묵무침  요구르트  포기김치 (배추,고추가루:국내산) ",0,1,1,1,whole_menu_keyword_presence,,not_in_source,assistant_manual_text_review,불고기 문자열 존재를 확인. 육류 실재/메인 메뉴 여부는 레시피 없이 단정하지 않음.
2016-03-15,쌀밥/잡곡밥 (쌀:국내산) 쑥국  소불고기 (쇠고기:호주산) 골뱅이무침*소면  마늘쫑볶음   포기김치 (김치:국내산)  ,1,1,1,1,whole_menu_keyword_presence,,not_in_source,assistant_manual_text_review,불고기 문자열 존재를 확인. 육류 실재/메인 메뉴 여부는 레시피 없이 단정하지 않음.
2016-03-21, 쌀밥/잡곡밥 (쌀:국내산) 꽃게탕  버섯불고기 (쇠고기:호주산) 계란말이  도토리묵무침  포기김치 (김치:국내산)  ,0,1,1,1,whole_menu_keyword_presence,,not_in_source,assistant_manual_text_review,불고기 문자열 존재를 확인. 육류 실재/메인 메뉴 여부는 레시피 없이 단정하지 않음.
2016-04-04,"쌀밥/잡곡밥 (쌀,현미흑미:국내산) 순두부찌개  쇠불고기  브로컬리맛살볶음  풋마늘초무침  포기김치 (배추,고추가루:국내산)   ",0,1,1,1,whole_menu_keyword_presence,,not_in_source,assistant_manual_text_review,불고기 문자열 존재를 확인. 육류 실재/메인 메뉴 여부는 레시피 없이 단정하지 않음.
2016-04-25,쌀밥/잡곡밥 (쌀:국내산) 콩나물국  돈간장불고기  김치전  버섯볶음  포기김치 (김치:국내산)   ,0,1,1,1,whole_menu_keyword_presence,,not_in_source,assistant_manual_text_review,불고기 문자열 존재를 확인. 육류 실재/메인 메뉴 여부는 레시피 없이 단정하지 않음.
2016-05-10,쌀밥/잡곡밥 (쌀:국내산) 콩나물국  버섯불고기  오징어초무침  시금치나물  포기김치 (김치:국내산)   ,0,1,1,1,whole_menu_keyword_presence,,not_in_source,assistant_manual_text_review,불고기 문자열 존재를 확인. 육류 실재/메인 메뉴 여부는 레시피 없이 단정하지 않음.
2016-05-23,쌀밥/잡곡밥 (쌀:국내산) 북어콩나물국  쇠고기불고기 (쇠고기:호주산) 옥수수전  오이무침  포기김치 (김치:국내산)   ,1,1,1,1,whole_menu_keyword_presence,,not_in_source,assistant_manual_text_review,불고기 문자열 존재를 확인. 육류 실재/메인 메뉴 여부는 레시피 없이 단정하지 않음.
2016-07-04,쌀밥/잡곡밥 (쌀:국내산) 감자고추장찌개  버섯불고기  맛살겨자초무침  노각무침  포기김치 (김치:국내산)   ,0,1,1,1,whole_menu_keyword_presence,,not_in_source,assistant_manual_text_review,불고기 문자열 존재를 확인. 육류 실재/메인 메뉴 여부는 레시피 없이 단정하지 않음.
2016-07-21,쌀밥/잡곡밥 (쌀:국내산) 우묵콩국  고추장불고기  명태엿장조림  깻잎지  알타리김치 (김치:국내산)   ,0,1,1,1,whole_menu_keyword_presence,,not_in_source,assistant_manual_text_review,불고기 문자열 존재를 확인. 육류 실재/메인 메뉴 여부는 레시피 없이 단정하지 않음.
2016-08-12,불고기덮밥 (쌀:국내산) 맑은국  새우까스&탈탈소스  고구마범벅  노각무침  포기김치 (김치:국내산)   ,0,1,1,1,whole_menu_keyword_presence,,not_in_source,assistant_manual_text_review,불고기 문자열 존재를 확인. 육류 실재/메인 메뉴 여부는 레시피 없이 단정하지 않음.
