fold,model,group,rules,include_overtime,feature,gain
1,lightgbm,A,v2,True,employees,12868890.878295898
1,lightgbm,A,v2,True,vacation,77729844.02276611
1,lightgbm,A,v2,True,business_trip,81425886.2130127
1,lightgbm,A,v2,True,work_from_home,0.0
1,lightgbm,A,v2,True,overtime,123213046.18939209
1,lightgbm,B,v2,True,employees,10919538.282958984
1,lightgbm,B,v2,True,vacation,46325649.00848389
1,lightgbm,B,v2,True,business_trip,36589301.310791016
1,lightgbm,B,v2,True,work_from_home,0.0
1,lightgbm,B,v2,True,overtime,24536197.95703125
1,lightgbm,B,v2,True,weekday_0,131520408.31652832
1,lightgbm,B,v2,True,weekday_1,308691.2990722656
1,lightgbm,B,v2,True,weekday_2,438102.6600341797
1,lightgbm,B,v2,True,weekday_3,6113190.912231445
1,lightgbm,B,v2,True,weekday_4,43040040.71923828
1,lightgbm,B,v2,True,weekday_5,0.0
1,lightgbm,B,v2,True,weekday_6,0.0
1,lightgbm,C,v1,True,employees,10520652.409179688
1,lightgbm,C,v1,True,vacation,47058024.28961182
1,lightgbm,C,v1,True,business_trip,36446884.152038574
1,lightgbm,C,v1,True,work_from_home,0.0
1,lightgbm,C,v1,True,overtime,24488662.538024902
1,lightgbm,C,v1,True,weekday_0,131825481.47460938
1,lightgbm,C,v1,True,weekday_1,285019.52893066406
1,lightgbm,C,v1,True,weekday_2,426001.59765625
1,lightgbm,C,v1,True,weekday_3,6087188.147827148
1,lightgbm,C,v1,True,weekday_4,43013249.17114258
1,lightgbm,C,v1,True,weekday_5,0.0
1,lightgbm,C,v1,True,weekday_6,0.0
1,lightgbm,C,v1,True,menu_meat,500229.82971191406
1,lightgbm,C,v1,True,menu_fish,784201.9906005859
1,lightgbm,C,v1,True,menu_noodles,0.0
1,lightgbm,C,v1,True,menu_special,0.0
1,lightgbm,C,v1,True,menu_rice_bowl,410466.2081298828
1,lightgbm,C,v1,True,menu_soup,0.0
1,lightgbm,C,v2,True,employees,10552571.71685791
1,lightgbm,C,v2,True,vacation,46466936.52838135
1,lightgbm,C,v2,True,business_trip,36641325.61810303
1,lightgbm,C,v2,True,work_from_home,0.0
1,lightgbm,C,v2,True,overtime,24712150.948913574
1,lightgbm,C,v2,True,weekday_0,131773493.22070312
1,lightgbm,C,v2,True,weekday_1,292659.59814453125
1,lightgbm,C,v2,True,weekday_2,426001.59765625
1,lightgbm,C,v2,True,weekday_3,6182819.578979492
1,lightgbm,C,v2,True,weekday_4,43068121.16656494
1,lightgbm,C,v2,True,weekday_5,0.0
1,lightgbm,C,v2,True,weekday_6,0.0
1,lightgbm,C,v2,True,menu_meat,487892.6203613281
1,lightgbm,C,v2,True,menu_fish,705555.8106689453
1,lightgbm,C,v2,True,menu_noodles,4647.869873046875
1,lightgbm,C,v2,True,menu_special,0.0
1,lightgbm,C,v2,True,menu_rice_bowl,427914.01171875
1,lightgbm,C,v2,True,menu_soup,0.0
1,lightgbm,D,v1,True,employees,5812836.966491699
1,lightgbm,D,v1,True,vacation,42128187.455200195
1,lightgbm,D,v1,True,business_trip,30781037.487365723
1,lightgbm,D,v1,True,work_from_home,0.0
1,lightgbm,D,v1,True,overtime,26578990.93017578
1,lightgbm,D,v1,True,weekday_0,130840926.40307617
1,lightgbm,D,v1,True,weekday_1,218311.30029296875
1,lightgbm,D,v1,True,weekday_2,158921.30078125
1,lightgbm,D,v1,True,weekday_3,6050608.624389648
1,lightgbm,D,v1,True,weekday_4,42881241.060058594
1,lightgbm,D,v1,True,weekday_5,0.0
1,lightgbm,D,v1,True,weekday_6,0.0
1,lightgbm,D,v1,True,menu_meat,368095.0700683594
1,lightgbm,D,v1,True,menu_fish,592910.7390136719
1,lightgbm,D,v1,True,menu_noodles,125567.80041503906
1,lightgbm,D,v1,True,menu_special,0.0
1,lightgbm,D,v1,True,menu_rice_bowl,262619.3895263672
1,lightgbm,D,v1,True,menu_soup,0.0
1,lightgbm,D,v1,True,temp_mean,4586757.046875
1,lightgbm,D,v1,True,temp_max,5795001.051208496
1,lightgbm,D,v1,True,temp_min,9040493.121154785
1,lightgbm,D,v1,True,humidity,4718748.828918457
1,lightgbm,D,v2,True,employees,5930246.848144531
1,lightgbm,D,v2,True,vacation,42494441.60546875
1,lightgbm,D,v2,True,business_trip,31132925.286743164
1,lightgbm,D,v2,True,work_from_home,0.0
1,lightgbm,D,v2,True,overtime,26254642.403015137
1,lightgbm,D,v2,True,weekday_0,130693527.3569336
1,lightgbm,D,v2,True,weekday_1,229148.1767578125
1,lightgbm,D,v2,True,weekday_2,158921.30078125
1,lightgbm,D,v2,True,weekday_3,6058541.748046875
1,lightgbm,D,v2,True,weekday_4,42858163.39941406
1,lightgbm,D,v2,True,weekday_5,0.0
1,lightgbm,D,v2,True,weekday_6,0.0
1,lightgbm,D,v2,True,menu_meat,394342.37939453125
1,lightgbm,D,v2,True,menu_fish,567657.0876464844
1,lightgbm,D,v2,True,menu_noodles,100020.53991699219
1,lightgbm,D,v2,True,menu_special,0.0
1,lightgbm,D,v2,True,menu_rice_bowl,304643.86962890625
1,lightgbm,D,v2,True,menu_soup,0.0
1,lightgbm,D,v2,True,temp_mean,4556433.21887207
1,lightgbm,D,v2,True,temp_max,5795829.683532715
1,lightgbm,D,v2,True,temp_min,9191373.330200195
1,lightgbm,D,v2,True,humidity,4369022.520874023
1,xgboost,A,v2,True,employees,0.048503316938877106
1,xgboost,A,v2,True,vacation,0.23303332924842834
1,xgboost,A,v2,True,business_trip,0.24659770727157593
1,xgboost,A,v2,True,work_from_home,0.0
1,xgboost,A,v2,True,overtime,0.4718656539916992
1,xgboost,B,v2,True,employees,0.004951236769556999
1,xgboost,B,v2,True,vacation,0.02287118136882782
1,xgboost,B,v2,True,business_trip,0.013451052829623222
1,xgboost,B,v2,True,work_from_home,0.0
1,xgboost,B,v2,True,overtime,0.01928497664630413
1,xgboost,B,v2,True,weekday_0,0.402595192193985
1,xgboost,B,v2,True,weekday_1,0.004445370752364397
1,xgboost,B,v2,True,weekday_2,0.052764441817998886
1,xgboost,B,v2,True,weekday_3,0.0337081104516983
1,xgboost,B,v2,True,weekday_4,0.4459283649921417
1,xgboost,B,v2,True,weekday_5,0.0
1,xgboost,B,v2,True,weekday_6,0.0
1,xgboost,C,v1,True,employees,0.004590809345245361
1,xgboost,C,v1,True,vacation,0.02045189030468464
1,xgboost,C,v1,True,business_trip,0.011448916979134083
1,xgboost,C,v1,True,work_from_home,0.0
1,xgboost,C,v1,True,overtime,0.017660444602370262
1,xgboost,C,v1,True,weekday_0,0.40012311935424805
1,xgboost,C,v1,True,weekday_1,0.004922129213809967
1,xgboost,C,v1,True,weekday_2,0.05946558341383934
1,xgboost,C,v1,True,weekday_3,0.027952520176768303
1,xgboost,C,v1,True,weekday_4,0.44109708070755005
1,xgboost,C,v1,True,weekday_5,0.0
1,xgboost,C,v1,True,weekday_6,0.0
1,xgboost,C,v1,True,menu_meat,0.003661356633529067
1,xgboost,C,v1,True,menu_fish,0.004148347303271294
1,xgboost,C,v1,True,menu_noodles,0.0016719595296308398
1,xgboost,C,v1,True,menu_special,0.0
1,xgboost,C,v1,True,menu_rice_bowl,0.00280582532286644
1,xgboost,C,v1,True,menu_soup,0.0
1,xgboost,C,v2,True,employees,0.004456469789147377
1,xgboost,C,v2,True,vacation,0.01888742670416832
1,xgboost,C,v2,True,business_trip,0.010814224369823933
1,xgboost,C,v2,True,work_from_home,0.0
1,xgboost,C,v2,True,overtime,0.018042035400867462
1,xgboost,C,v2,True,weekday_0,0.3830491006374359
1,xgboost,C,v2,True,weekday_1,0.0036905603483319283
1,xgboost,C,v2,True,weekday_2,0.062464915215969086
1,xgboost,C,v2,True,weekday_3,0.024551955983042717
1,xgboost,C,v2,True,weekday_4,0.46297982335090637
1,xgboost,C,v2,True,weekday_5,0.0
1,xgboost,C,v2,True,weekday_6,0.0
1,xgboost,C,v2,True,menu_meat,0.002894315170124173
1,xgboost,C,v2,True,menu_fish,0.004295012913644314
1,xgboost,C,v2,True,menu_noodles,0.0010559934889897704
1,xgboost,C,v2,True,menu_special,0.0
1,xgboost,C,v2,True,menu_rice_bowl,0.0028181832749396563
1,xgboost,C,v2,True,menu_soup,0.0
1,xgboost,D,v1,True,employees,0.0035589055623859167
1,xgboost,D,v1,True,vacation,0.01996055617928505
1,xgboost,D,v1,True,business_trip,0.010020378045737743
1,xgboost,D,v1,True,work_from_home,0.0
1,xgboost,D,v1,True,overtime,0.018309276551008224
1,xgboost,D,v1,True,weekday_0,0.3872843384742737
1,xgboost,D,v1,True,weekday_1,0.004642402287572622
1,xgboost,D,v1,True,weekday_2,0.021907398477196693
1,xgboost,D,v1,True,weekday_3,0.025036826729774475
1,xgboost,D,v1,True,weekday_4,0.4866299629211426
1,xgboost,D,v1,True,weekday_5,0.0
1,xgboost,D,v1,True,weekday_6,0.0
1,xgboost,D,v1,True,menu_meat,0.003621212439611554
1,xgboost,D,v1,True,menu_fish,0.0025106656830757856
1,xgboost,D,v1,True,menu_noodles,0.001225723186507821
1,xgboost,D,v1,True,menu_special,0.0
1,xgboost,D,v1,True,menu_rice_bowl,0.0022328943014144897
1,xgboost,D,v1,True,menu_soup,0.0
1,xgboost,D,v1,True,temp_mean,0.0029113017953932285
1,xgboost,D,v1,True,temp_max,0.0035228279884904623
1,xgboost,D,v1,True,temp_min,0.003897230140864849
1,xgboost,D,v1,True,humidity,0.002728172577917576
1,xgboost,D,v2,True,employees,0.0036858622916042805
1,xgboost,D,v2,True,vacation,0.020357580855488777
1,xgboost,D,v2,True,business_trip,0.010322915390133858
1,xgboost,D,v2,True,work_from_home,0.0
1,xgboost,D,v2,True,overtime,0.018020445480942726
1,xgboost,D,v2,True,weekday_0,0.37573549151420593
1,xgboost,D,v2,True,weekday_1,0.004061655607074499
1,xgboost,D,v2,True,weekday_2,0.02662038244307041
1,xgboost,D,v2,True,weekday_3,0.022042542695999146
1,xgboost,D,v2,True,weekday_4,0.4975353479385376
1,xgboost,D,v2,True,weekday_5,0.0
1,xgboost,D,v2,True,weekday_6,0.0
1,xgboost,D,v2,True,menu_meat,0.0016802323516458273
1,xgboost,D,v2,True,menu_fish,0.0029248290229588747
1,xgboost,D,v2,True,menu_noodles,0.0009229807765223086
1,xgboost,D,v2,True,menu_special,0.0
1,xgboost,D,v2,True,menu_rice_bowl,0.0025444228667765856
1,xgboost,D,v2,True,menu_soup,0.0
1,xgboost,D,v2,True,temp_mean,0.002999710151925683
1,xgboost,D,v2,True,temp_max,0.0037792131770402193
1,xgboost,D,v2,True,temp_min,0.004023279063403606
1,xgboost,D,v2,True,humidity,0.002743081422522664
1,lightgbm,A,v2,False,employees,22074048.368774414
1,lightgbm,A,v2,False,vacation,119436905.84112549
1,lightgbm,A,v2,False,business_trip,141253508.81451416
1,lightgbm,A,v2,False,work_from_home,0.0
1,lightgbm,B,v2,False,employees,15460024.057128906
1,lightgbm,B,v2,False,vacation,45513671.43621826
1,lightgbm,B,v2,False,business_trip,38136456.73199463
1,lightgbm,B,v2,False,work_from_home,0.0
1,lightgbm,B,v2,False,weekday_0,134223703.2251587
1,lightgbm,B,v2,False,weekday_1,439034.4216308594
1,lightgbm,B,v2,False,weekday_2,491549.89904785156
1,lightgbm,B,v2,False,weekday_3,7545797.334472656
