fold,model,group,rules,include_overtime,feature,mae_increase_mean,mae_increase_std,repeats
1,lightgbm,D,v2,False,employees,-2.6241610738255,0.605442040877529,3
1,lightgbm,D,v2,False,vacation,30.355704697986578,7.255707150124459,3
1,lightgbm,D,v2,False,business_trip,29.501118568232666,5.049889486072893,3
1,lightgbm,D,v2,False,work_from_home,0.0,0.0,3
1,lightgbm,D,v2,False,weekday_0,39.48545861297539,3.2363764918224507,3
1,lightgbm,D,v2,False,weekday_1,-0.0022371364653205696,0.020746350101775366,3
1,lightgbm,D,v2,False,weekday_2,-0.15659955257270988,0.14829363238636892,3
1,lightgbm,D,v2,False,weekday_3,2.2393736017897132,1.0055524026777423,3
1,lightgbm,D,v2,False,weekday_4,13.322147651006711,1.4260126240548454,3
1,lightgbm,D,v2,False,weekday_5,0.0,0.0,3
1,lightgbm,D,v2,False,weekday_6,0.0,0.0,3
1,lightgbm,D,v2,False,menu_meat,0.029082774049219513,0.12084679047937075,3
1,lightgbm,D,v2,False,menu_fish,0.15659955257270988,0.21204466418027393,3
1,lightgbm,D,v2,False,menu_noodles,0.46979865771812496,0.10918509478221226,3
1,lightgbm,D,v2,False,menu_special,0.0,0.0,3
1,lightgbm,D,v2,False,menu_rice_bowl,0.35123042505593105,0.41720045984350407,3
1,lightgbm,D,v2,False,menu_soup,0.0,0.0,3
1,lightgbm,D,v2,False,temp_mean,-1.0693512304250514,0.39766949176240035,3
1,lightgbm,D,v2,False,temp_max,-3.7337807606263973,0.853279158002824,3
1,lightgbm,D,v2,False,temp_min,-4.534675615212525,0.7266183423061143,3
1,lightgbm,D,v2,False,humidity,-0.2662192393735978,0.7369386949409692,3
1,xgboost,D,v2,False,employees,-1.3557046979865817,0.6428955712659381,3
1,xgboost,D,v2,False,vacation,38.29530201342282,5.574837241014481,3
1,xgboost,D,v2,False,business_trip,33.09619686800894,5.489780641826963,3
1,xgboost,D,v2,False,work_from_home,0.0,0.0,3
1,xgboost,D,v2,False,weekday_0,48.26174496644294,2.2501211541101043,3
1,xgboost,D,v2,False,weekday_1,0.09172259507829494,0.12158996189441486,3
1,xgboost,D,v2,False,weekday_2,0.006711409395971184,0.059273562861261016,3
1,xgboost,D,v2,False,weekday_3,0.736017897091718,0.3427567584989361,3
1,xgboost,D,v2,False,weekday_4,8.606263982102908,1.007640635030734,3
1,xgboost,D,v2,False,weekday_5,0.0,0.0,3
1,xgboost,D,v2,False,weekday_6,0.0,0.0,3
1,xgboost,D,v2,False,menu_meat,-0.07382550335571143,0.1471416881647034,3
1,xgboost,D,v2,False,menu_fish,0.15659955257270042,0.2157648245401233,3
1,xgboost,D,v2,False,menu_noodles,0.18791946308724525,0.01643952847505586,3
1,xgboost,D,v2,False,menu_special,0.0,0.0,3
1,xgboost,D,v2,False,menu_rice_bowl,0.7628635346756075,0.5543676523181267,3
1,xgboost,D,v2,False,menu_soup,0.0,0.0,3
1,xgboost,D,v2,False,temp_mean,-2.449664429530207,0.9529886247429901,3
1,xgboost,D,v2,False,temp_max,0.058165548098424814,0.626725705376633,3
1,xgboost,D,v2,False,temp_min,-1.9172259507830016,0.7456681567929829,3
1,xgboost,D,v2,False,humidity,0.9060402684563703,0.7910547440384298,3
2,lightgbm,D,v2,False,employees,0.09111111111110404,2.171712642701406,3
2,lightgbm,D,v2,False,vacation,31.275555555555545,4.4278122123295045,3
2,lightgbm,D,v2,False,business_trip,40.13333333333333,3.174542253383709,3
2,lightgbm,D,v2,False,work_from_home,0.0,0.0,3
2,lightgbm,D,v2,False,weekday_0,44.16666666666666,3.8849834357814546,3
2,lightgbm,D,v2,False,weekday_1,-0.12888888888889957,0.10389928646720613,3
2,lightgbm,D,v2,False,weekday_2,-0.09777777777778833,0.013698697784374572,3
2,lightgbm,D,v2,False,weekday_3,1.7222222222222143,1.3195996399956145,3
2,lightgbm,D,v2,False,weekday_4,15.533333333333326,3.902925778134863,3
2,lightgbm,D,v2,False,weekday_5,0.0,0.0,3
2,lightgbm,D,v2,False,weekday_6,0.0,0.0,3
2,lightgbm,D,v2,False,menu_meat,0.1155555555555452,0.23147407395555178,3
2,lightgbm,D,v2,False,menu_fish,-0.20222222222222777,0.6006745179739239,3
2,lightgbm,D,v2,False,menu_noodles,-0.4266666666666718,0.23170862929310435,3
2,lightgbm,D,v2,False,menu_special,0.0,0.0,3
2,lightgbm,D,v2,False,menu_rice_bowl,0.5244444444444364,0.09130061592966005,3
2,lightgbm,D,v2,False,menu_soup,0.0,0.0,3
2,lightgbm,D,v2,False,temp_mean,-1.4044444444444508,1.1737415114932546,3
2,lightgbm,D,v2,False,temp_max,0.45999999999999375,0.10596994682280783,3
2,lightgbm,D,v2,False,temp_min,-2.5977777777777837,1.3967192600368976,3
2,lightgbm,D,v2,False,humidity,1.162222222222212,1.1182040274089435,3
2,xgboost,D,v2,False,employees,-1.0466666666666669,2.007482300092627,3
2,xgboost,D,v2,False,vacation,32.08222222222222,5.3423765923342605,3
2,xgboost,D,v2,False,business_trip,33.08888888888888,2.909918330702431,3
2,xgboost,D,v2,False,work_from_home,0.0,0.0,3
2,xgboost,D,v2,False,weekday_0,51.41555555555556,4.920275009878976,3
2,xgboost,D,v2,False,weekday_1,0.046666666666666856,0.0694955367604986,3
2,xgboost,D,v2,False,weekday_2,-0.028888888888891035,0.0739035073258457,3
2,xgboost,D,v2,False,weekday_3,1.7200000000000035,0.9845171781508306,3
2,xgboost,D,v2,False,weekday_4,11.486666666666665,3.1107888722006503,3
2,xgboost,D,v2,False,weekday_5,0.0,0.0,3
2,xgboost,D,v2,False,weekday_6,0.0,0.0,3
2,xgboost,D,v2,False,menu_meat,0.11555555555555468,0.0493913572686498,3
2,xgboost,D,v2,False,menu_fish,0.12222222222222001,0.4792689906848745,3
2,xgboost,D,v2,False,menu_noodles,-0.051111111111111995,0.09178611745806385,3
2,xgboost,D,v2,False,menu_special,-0.2488888888888899,0.1398764887276143,3
2,xgboost,D,v2,False,menu_rice_bowl,0.04666666666666212,0.049888765156987355,3
2,xgboost,D,v2,False,menu_soup,0.013333333333335418,0.0,3
2,xgboost,D,v2,False,temp_mean,-0.11555555555555468,0.3021078214850914,3
2,xgboost,D,v2,False,temp_max,2.2666666666666657,0.4684726957536205,3
2,xgboost,D,v2,False,temp_min,-1.9933333333333347,0.6538093503970958,3
2,xgboost,D,v2,False,humidity,1.3711111111111098,0.4676286381412919,3
3,lightgbm,D,v2,False,employees,-2.562222222222213,1.4153479701272094,3
3,lightgbm,D,v2,False,vacation,32.87777777777778,2.7664087340721357,3
3,lightgbm,D,v2,False,business_trip,59.16666666666668,8.796192779117993,3
3,lightgbm,D,v2,False,work_from_home,0.0,0.0,3
3,lightgbm,D,v2,False,weekday_0,30.964444444444453,2.4417196935210224,3
3,lightgbm,D,v2,False,weekday_1,-0.10222222222221926,0.07818938704782205,3
3,lightgbm,D,v2,False,weekday_2,-0.02222222222221622,0.1409316444062873,3
3,lightgbm,D,v2,False,weekday_3,1.4733333333333387,0.6752338415250929,3
3,lightgbm,D,v2,False,weekday_4,14.380000000000004,4.598186437990368,3
3,lightgbm,D,v2,False,weekday_5,0.0,0.0,3
3,lightgbm,D,v2,False,weekday_6,0.0,0.0,3
3,lightgbm,D,v2,False,menu_meat,0.32222222222223235,0.6452638468865001,3
3,lightgbm,D,v2,False,menu_fish,-0.05333333333332746,0.2480740630149415,3
3,lightgbm,D,v2,False,menu_noodles,-0.2533333333333256,0.25127821382034116,3
3,lightgbm,D,v2,False,menu_special,0.0,0.0,3
3,lightgbm,D,v2,False,menu_rice_bowl,-0.006666666666660603,0.09903235535625468,3
3,lightgbm,D,v2,False,menu_soup,0.0,0.0,3
3,lightgbm,D,v2,False,temp_mean,-0.2288888888888844,0.43068707668642037,3
3,lightgbm,D,v2,False,temp_max,-0.07111111111110328,0.9125030018553715,3
3,lightgbm,D,v2,False,temp_min,-1.0844444444444388,0.5368311227201596,3
3,lightgbm,D,v2,False,humidity,0.20444444444445273,0.7669918794940906,3
3,xgboost,D,v2,False,employees,-1.0244444444444507,0.712103474240011,3
3,xgboost,D,v2,False,vacation,34.71111111111111,3.6957205816029877,3
3,xgboost,D,v2,False,business_trip,59.53777777777776,5.931945738702732,3
3,xgboost,D,v2,False,work_from_home,0.0,0.0,3
3,xgboost,D,v2,False,weekday_0,43.00888888888888,2.8186907038464892,3
3,xgboost,D,v2,False,weekday_1,0.09777777777777412,0.1579810896637903,3
3,xgboost,D,v2,False,weekday_2,0.14444444444444096,0.008314794192834813,3
