date,weekday,employees,vacation,business_trip,overtime,work_from_home,조식메뉴,menu,석식메뉴,actual_diners,dinner_diners,available_population,participation_rate,temp_mean,temp_max,temp_min,precipitation,humidity,rain,included
2016-02-01,월,2601.0,50.0,150.0,238.0,0.0,"모닝롤/찐빵  우유/두유/주스 계란후라이  호두죽/쌀밥 (쌀:국내산) 된장찌개  쥐어채무침  포기김치 (배추,고추가루:국내산) ","쌀밥/잡곡밥 (쌀,현미흑미:국내산) 오징어찌개  쇠불고기 (쇠고기:호주산) 계란찜  청포묵무침  요구르트  포기김치 (배추,고추가루:국내산) ","쌀밥/잡곡밥 (쌀,현미흑미:국내산) 육개장  자반고등어구이  두부조림  건파래무침  포기김치 (김치:국내산) ",1039.0,331.0,2401.0,0.4327363598500625,,,,,,,False
2016-02-02,화,2601.0,50.0,173.0,319.0,0.0,"모닝롤/단호박샌드  우유/두유/주스 계란후라이  팥죽/쌀밥 (쌀:국내산) 호박젓국찌개  시래기조림  포기김치 (배추,고추가루:국내산) ","쌀밥/잡곡밥 (쌀,현미흑미:국내산) 김치찌개  가자미튀김  모둠소세지구이  마늘쫑무침  요구르트  배추겉절이 (배추,고추가루:국내산) ","콩나물밥*양념장 (쌀,현미흑미:국내산) 어묵국  유산슬 (쇠고기:호주산) 아삭고추무침  바나나  포기김치 (배추,고추가루:국내산) ",867.0,560.0,2378.0,0.36459209419680405,,,,,,,False
2016-02-03,수,2601.0,56.0,180.0,111.0,0.0,"모닝롤/베이글  우유/두유/주스 계란후라이  표고버섯죽/쌀밥 (쌀:국내산) 콩나물국  느타리호박볶음  포기김치 (배추,고추가루:국내산) ","카레덮밥 (쌀,현미흑미:국내산) 팽이장국  치킨핑거 (닭고기:국내산) 쫄면야채무침  견과류조림  요구르트  포기김치 (배추,고추가루:국내산) ","쌀밥/잡곡밥 (쌀,현미흑미:국내산) 청국장찌개  황태양념구이 (황태:러시아산) 고기전 (돼지고기:국내산) 새송이버섯볶음  포기김치 (배추,고추가루:국내산) ",1017.0,573.0,2365.0,0.43002114164904864,-2.3208333333333333,5.8,-8.8,,47.16666666666666,,True
2016-02-04,목,2601.0,104.0,220.0,355.0,0.0,"모닝롤/토마토샌드  우유/두유/주스 계란후라이  닭죽/쌀밥 (쌀,닭:국내산) 근대국  멸치볶음  포기김치 (배추,고추가루:국내산) ","쌀밥/잡곡밥 (쌀,현미흑미:국내산) 쇠고기무국  주꾸미볶음  부추전  시금치나물  요구르트  포기김치 (배추,고추가루:국내산) ","미니김밥*겨자장 (쌀,현미흑미:국내산) 우동  멕시칸샐러드  군고구마  무피클  포기김치 (배추,고추가루:국내산) ",978.0,525.0,2277.0,0.4295125164690382,-1.9416666666666664,7.7,-9.1,,56.16666666666666,,True
2016-02-05,금,2601.0,278.0,181.0,34.0,0.0,"모닝롤/와플  우유/두유/주스 계란후라이  쇠고기죽/쌀밥 (쌀:국내산) 재첩국  방풍나물  포기김치 (배추,고추가루:국내산) ","쌀밥/잡곡밥 (쌀,현미흑미:국내산) 떡국  돈육씨앗강정 (돼지고기:국내산) 우엉잡채  청경채무침  요구르트  포기김치 (배추,고추가루:국내산) ","쌀밥/잡곡밥 (쌀,현미흑미:국내산) 차돌박이찌개 (쇠고기:호주산) 닭갈비 (닭고기:국내산) 감자소세지볶음  콩나물무침  포기김치 (배추,고추가루:국내산) ",925.0,330.0,2142.0,0.43183940242763774,-0.5499999999999999,7.5,-7.7,,55.333333333333336,,True
2016-02-11,목,2601.0,383.0,143.0,417.0,0.0,팬케익/찐빵  우유/두유/주스  계란후라이  견과류죽/쌀밥 (쌀:국내산) 감자찌개  명엽채무침 포기김치 (김치:국내산) ,"쌀밥/잡곡밥 (쌀,현미흑미:국내산) 시래기국  훈제오리구이  도토리묵무침  쌈무/양파절임  요구르트  포기김치 (김치:국내산) ","참치회덮밥 (쌀,현미흑미:국내산) 맑은국  군만두  과일샐러드  락교  포기김치 (김치:국내산) ",1045.0,550.0,2075.0,0.5036144578313253,1.7208333333333332,11.4,-5.9,,47.125,,True
2016-02-12,금,2601.0,389.0,156.0,93.0,0.0,모닝롤/야채샌드  우유/두유/주스  계란후라이  고구마죽/쌀밥 (쌀:국내산) 봄동된장국  숙주나물 포기김치 (김치:국내산) ,"쌀밥/잡곡밥 (쌀,현미흑미:국내산) 꽃게탕  돈육굴소스볶음  옥수수전  유채나물  요구르트  포기김치 (김치:국내산) ","쌀밥/잡곡밥 (쌀,현미흑미:국내산) 김치콩나물국  미니함박  어묵볶음  물파래무침  깍두기 (김치:국내산) ",909.0,598.0,2056.0,0.44212062256809337,5.191666666666667,14.2,-3.0,,56.875,,True
2016-02-15,월,2601.0,87.0,204.0,482.0,0.0,모닝롤/치즈프레즐  우유/두유/주스  계란후라이  잣죽/쌀밥 (쌀:국내산) 민물새우찌개  콩조림 포기김치 (김치:국내산) ,쌀밥/잡곡밥 (쌀:국내산) 시금치국  닭감자조림 (닭고기:국내산) 연두부*양념장  콩나물무침  요구르트  포기김치 (김치:국내산) ,"쌀밥/잡곡밥 (쌀:국내산) 홍합미역국  등갈비김치찜 (돼지고기,김치:국내산) 임연수구이  브로컬리초장  포기김치 (김치:국내산) ",1268.0,672.0,2310.0,0.5489177489177489,5.416666666666667,14.6,-1.1,,54.875,1.0,True
2016-02-16,화,2601.0,72.0,236.0,526.0,0.0,모닝롤/마늘빵  우유/두유/주스  계란후라이  단호박죽/쌀밥 (쌀:국내산) 어묵국  김구이 포기김치 (김치:국내산) ,쌀밥/잡곡밥 (쌀:국내산) 쇠고기무국 (쇠고기:호주산) 탕수어 (동태:러시아산) 오징어숙회무침  취나물  요구르트  포기김치 (김치:국내산) ,쌀밥/잡곡밥 (쌀:국내산) 된장찌개  쇠불고기 (쇠고기:호주산) 해파리겨자채  봄동무침  포기김치 (김치:국내산) ,1014.0,523.0,2293.0,0.4422154382904492,-1.2375,2.1,-4.0,,36.54166666666666,,True
2016-02-17,수,2601.0,78.0,250.0,23.0,0.0,모닝롤/참치샌드  우유/두유/주스  계란후라이  흑임자죽/쌀밥 (쌀:국내산) 북어계란국  무생채 포기김치 (김치:국내산) ,쌀밥/잡곡밥 (쌀:국내산) 냉이된장국  쇠고기장조림 (쇠고기:호주산) 통도라지구이  치커리무침  요구르트  포기김치 (김치:국내산) ,볶음밥*자장소스 (쌀:국내산) 맑은국  새우또띠아  쨔샤이무침  요플레  포기김치 (김치:국내산) ,916.0,588.0,2273.0,0.4029916410030796,-0.2333333333333332,4.9,-6.1,,59.75,,True
2016-02-18,목,2601.0,77.0,254.0,367.0,0.0,모닝롤/인절미토스트  우유/두유/주스  계란후라이  계란후라이  (쌀:국내산) 선지해장국 (쇠고기:호주산) 톳두부무침 포기김치 (김치:국내산) ,"낙지비빔밥 (낙지:중국산,쌀:국내산) 유부장국  고구마치즈구이  해초무침  요구르트  요구르트  포기김치 (김치:국내산) ",쌀밥/잡곡밥 (쌀:국내산) 순두부찌개  명태조림 (명태:러시아산) 감자채볶음  쌈만두  포기김치 (김치:국내산) ,910.0,489.0,2270.0,0.4008810572687225,1.6791666666666665,7.5,-2.4,,50.25,,True
2016-02-19,금,2601.0,145.0,252.0,69.0,0.0,모닝롤/씨크립샌드  우유/두유/주스  계란후라이  밤죽/쌀밥 (쌀:국내산) 홍합탕  오이생채 포기김치 (김치:국내산) ,쌀밥/잡곡밥 (쌀:국내산) 대구찌개  마늘간장치킨 (닭고기:국내산) 새송이버섯볶음  돌나물무침/치킨무  요구르트  포기김치 (김치:국내산) ,쌀밥/잡곡밥 (쌀:국내산) 설렁탕 (쇠고기:호주산) 김치전 (김치:국내산) 야채스틱  바나나  석박지 (김치:국내산) ,763.0,597.0,2204.0,0.34618874773139746,1.8958333333333333,9.7,-5.8,,61.54166666666666,,True
2016-02-22,월,2601.0,90.0,207.0,434.0,0.0,모닝롤/팬케익  우유/주스  계란후라이  브로컬리죽/쌀밥 (쌀:국내산) 고추장찌개  시금치나물 포기김치 (고춧가루:국내산) ,쌀밥/오곡밥 (쌀:국내산) 쇠고기느타리국  갈치구이  호박꼬지&고사리&무나물  파래김*양념장  부럼/요구르트  포기김치 (김치:국내산) ,쌀밥/잡곡밥 (쌀:국내산) 옹심이만두국  떡갈비조림  청포묵무침  부추오이생채  포기김치 (김치:국내산) ,1298.0,645.0,2304.0,0.5633680555555556,2.470833333333333,8.2,-3.4,,34.0,,True
2016-02-23,화,2601.0,57.0,237.0,488.0,0.0,모닝롤/야채샌드  우유/주스  계란후라이  닭죽/쌀밥 (쌀:국내산) 재첩국  참나물땅콩가루무침 포기김치 (김치:국내산) ,쌀밥/잡곡밥 (쌀:국내산) 콩나물국  돈육간장볶음  버섯잡채  꽃상추무침  요구르트  포기김치 (김치:국내산) ,쌀밥/잡곡밥 (쌀:국내산) 콩비지찌개  해물까스&타르타르소스  볶음쌀국수  미역레몬초무침  통배추겉절이 (김치:국내산) ,899.0,610.0,2307.0,0.38968357173818813,2.970833333333333,6.7,-1.7,,46.458333333333336,,True
2016-02-24,수,2601.0,54.0,232.0,14.0,0.0,모닝롤/꿀호떡  우유/주스  계란후라이  김치죽/쌀밥 (쌀:국내산) 무채국  애호박나물 포기김치 (김치:국내산) ,비빔밥 (쌀:국내산) 팽이장국  소세지피망볶음  맛탕  귤  요구르트  포기김치 (김치:국내산) ,쌀밥/잡곡밥 (쌀:국내산) 열무된장국  매운돼지갈비찜  멸치호두볶음  숙주나물  포기김치 (김치:국내산) ,1022.0,514.0,2315.0,0.44146868250539956,5.529166666666666,11.5,0.5,,42.0,,True
2016-02-25,목,2601.0,56.0,261.0,335.0,0.0,모닝롤/크로와상  우유/주스  계란후라이  쇠고기죽/쌀밥 (쌀:국내산) 봄동된장국  어묵볶음 포기김치 (김치:국내산) ,쌀밥/잡곡밥 (쌀:국내산) 북어계란국  닭갈비  새싹두부구이  곰피초장  요구르트  포기김치 (김치:국내산) ,김밥 (쌀:국내산) 잔치국수  교자만두 (오븐에 찜) 멕시칸샐러드  무피클  포기김치 (김치:국내산) ,917.0,531.0,2284.0,0.40148861646234674,1.5875,7.0,-3.4,,29.375,,True
2016-02-26,금,2601.0,144.0,278.0,42.0,0.0,모닝롤/에그샌드  우유/주스  계란후라이  밤죽/쌀밥 (쌀:국내산) 꽃게탕  시래기조림 포기김치 (김치:국내산) ,쌀밥/잡곡밥 (쌀:국내산) 수제비국  오징어볶음  계란찜  도라지초무침  요구르트  포기김치 (김치:국내산) ,쌀밥/잡곡밥 (쌀:국내산) 닭개장  삼치구이  꽃맛살볶음  청경채사과무침  포기김치 (김치:국내산) ,766.0,585.0,2179.0,0.35153740247820103,0.9333333333333332,6.8,-4.2,,32.333333333333336,,True
2016-02-29,월,2601.0,595.0,168.0,110.0,0.0,"모닝롤/프렌치토스트  우유/두유/주스 계란후라이  호두죽/쌀밥 (쌀:국내산) 콩나물김치국  곰피초장  포기김치 (배추,고추가루:국내산) ","쌀밥/잡곡밥 (쌀,현미흑미:국내산) 얼갈이된장국  제육볶음  늙은호박전  치커리생채  요구르트  포기김치 (배추,고추가루:국내산) ","쌀밥/잡곡밥 (쌀,현미흑미:국내산) 버섯들깨탕  꽁치한마리구이  두부양념조림  구이김  포기김치 (김치:국내산) ",869.0,344.0,1838.0,0.47279651795429817,5.9875,13.2,-0.5,,69.20833333333333,1.0,True
