model,group,feature,gain,gain_share
lightgbm,A,employees,28150088.161743164,0.06364334516204928
lightgbm,A,vacation,125469610.96142578,0.28366894312673374
lightgbm,A,business_trip,154179258.16381836,0.34857737168596375
lightgbm,A,work_from_home,0.0,0.0
lightgbm,A,overtime,134511045.27600098,0.30411034002525317
lightgbm,B,employees,23150138.819335938,0.05154433181274758
lightgbm,B,vacation,62394188.872802734,0.13892213776967927
lightgbm,B,business_trip,43671200.892333984,0.09723496204590756
lightgbm,B,work_from_home,0.0,0.0
lightgbm,B,overtime,31600574.013671875,0.07035942570994548
lightgbm,B,weekday_0,192210781.02197266,0.4279618516459556
lightgbm,B,weekday_1,310318.42041015625,0.0006909313051664723
lightgbm,B,weekday_2,0.0,0.0
lightgbm,B,weekday_3,9423857.23059082,0.02098244109205162
lightgbm,B,weekday_4,86369582.35668945,0.19230391861854643
lightgbm,B,weekday_5,0.0,0.0
lightgbm,B,weekday_6,0.0,0.0
lightgbm,C,employees,22390314.6875,0.0496017829415783
lightgbm,C,vacation,62692197.31286621,0.13888347737155438
lightgbm,C,business_trip,44204554.74658203,0.09792737441038149
lightgbm,C,work_from_home,0.0,0.0
lightgbm,C,overtime,31406866.729003906,0.06957635960502304
lightgbm,C,weekday_0,192220102.24438477,0.42582964650589883
lightgbm,C,weekday_1,348539.20947265625,0.0007721269868772131
lightgbm,C,weekday_2,27823.259765625,6.163751206195189e-05
lightgbm,C,weekday_3,9373579.481811523,0.020765507824774612
lightgbm,C,weekday_4,86646134.92822266,0.191949190416505
lightgbm,C,weekday_5,0.0,0.0
lightgbm,C,weekday_6,0.0,0.0
lightgbm,C,menu_meat,674803.2377929688,0.001494907248801082
lightgbm,C,menu_fish,671382.7680664062,0.001487329802958844
lightgbm,C,menu_noodles,121999.1015625,0.00027026743657823773
lightgbm,C,menu_special,0.0,0.0
lightgbm,C,menu_rice_bowl,623110.8647460938,0.0013803919370070218
lightgbm,C,menu_soup,0.0,0.0
lightgbm,D,employees,16872983.200195312,0.03617558027173544
lightgbm,D,vacation,58205360.73132324,0.12479196324672025
lightgbm,D,business_trip,40622045.84362793,0.08709343586623548
lightgbm,D,work_from_home,0.0,0.0
lightgbm,D,overtime,28845600.603515625,0.06184480407156576
lightgbm,D,weekday_0,191186978.80078125,0.40990379806922256
lightgbm,D,weekday_1,84788.00952148438,0.00018178501146671097
lightgbm,D,weekday_2,21894.3994140625,4.694146815103135e-05
lightgbm,D,weekday_3,9166840.118652344,0.01965365321685581
lightgbm,D,weekday_4,87169985.48217773,0.1868919544150338
lightgbm,D,weekday_5,0.0,0.0
lightgbm,D,weekday_6,0.0,0.0
lightgbm,D,menu_meat,718977.3120117188,0.0015414832786614424
lightgbm,D,menu_fish,557227.8173828125,0.0011946932796769768
lightgbm,D,menu_noodles,66611.25927734375,0.0001428141620481811
lightgbm,D,menu_special,0.0,0.0
lightgbm,D,menu_rice_bowl,267965.38903808594,0.0005745162741039109
lightgbm,D,menu_soup,0.0,0.0
lightgbm,D,temp_mean,6879921.909790039,0.014750513549257844
lightgbm,D,temp_max,7962583.6884765625,0.017071734261524116
lightgbm,D,temp_min,10621354.235473633,0.022772123232806033
lightgbm,D,humidity,7168025.645751953,0.01536820632493467
xgboost,A,employees,0.058528147637844086,0.05852815069032501
xgboost,A,vacation,0.24666224420070648,0.24666225706514566
xgboost,A,business_trip,0.3350115716457367,0.3350115891179526
xgboost,A,work_from_home,0.0,0.0
xgboost,A,overtime,0.35979798436164856,0.3597980031265767
xgboost,B,employees,0.005207232665270567,0.005207232948972963
xgboost,B,vacation,0.02104727365076542,0.021047274797470844
xgboost,B,business_trip,0.011116864159703255,0.011116864765376402
xgboost,B,work_from_home,0.0,0.0
xgboost,B,overtime,0.010642164386808872,0.010642164966619247
xgboost,B,weekday_0,0.42771169543266296,0.42771171873541136
xgboost,B,weekday_1,0.002176424954086542,0.0021764250726633394
xgboost,B,weekday_2,0.006255716551095247,0.006255716891921534
xgboost,B,weekday_3,0.02630244381725788,0.026302445250277452
xgboost,B,weekday_4,0.48954012989997864,0.48954015657128686
xgboost,B,weekday_5,0.0,0.0
xgboost,B,weekday_6,0.0,0.0
xgboost,C,employees,0.005357690621167421,0.005357690618048835
xgboost,C,vacation,0.021069012582302094,0.021069012570038313
xgboost,C,business_trip,0.011560066603124142,0.011560066596395297
xgboost,C,work_from_home,0.0,0.0
xgboost,C,overtime,0.009988462552428246,0.009988462546614195
xgboost,C,weekday_0,0.42013874650001526,0.4201387462554623
xgboost,C,weekday_1,0.002910181414335966,0.0029101814126420177
xgboost,C,weekday_2,0.00976055022329092,0.009760550217609533
xgboost,C,weekday_3,0.028196848928928375,0.02819684891251565
xgboost,C,weekday_4,0.47632265090942383,0.47632265063216755
xgboost,C,weekday_5,0.0,0.0
xgboost,C,weekday_6,0.0,0.0
xgboost,C,menu_meat,0.003720582462847233,0.003720582460681569
xgboost,C,menu_fish,0.0029775055591017008,0.0029775055573685646
xgboost,C,menu_noodles,0.0011451985919848084,0.0011451985913182151
xgboost,C,menu_special,0.0022672165650874376,0.0022672165637677437
xgboost,C,menu_rice_bowl,0.002339401515200734,0.002339401513839023
xgboost,C,menu_soup,0.0022458855528384447,0.002245885551531167
xgboost,D,employees,0.005745716392993927,0.00574571668462973
xgboost,D,vacation,0.028436070308089256,0.028436071751421235
xgboost,D,business_trip,0.013288872316479683,0.013288872990984076
xgboost,D,work_from_home,0.0,0.0
xgboost,D,overtime,0.014877966605126858,0.014877967360289042
xgboost,D,weekday_0,0.43905341625213623,0.43905343853720685
xgboost,D,weekday_1,0.002910186070948839,0.002910186218661395
xgboost,D,weekday_2,0.008777080103754997,0.00877708054925398
xgboost,D,weekday_3,0.03393419086933136,0.0339341925917319
xgboost,D,weekday_4,0.42157140374183655,0.42157142513957124
xgboost,D,weekday_5,0.0,0.0
xgboost,D,weekday_6,0.0,0.0
xgboost,D,menu_meat,0.0055393679067492485,0.0055393681879114046
xgboost,D,menu_fish,0.003157001221552491,0.003157001381792664
xgboost,D,menu_noodles,0.0,0.0
xgboost,D,menu_special,0.00247514178045094,0.0024751419060819167
xgboost,D,menu_rice_bowl,0.0026044021360576153,0.0026044022682494704
xgboost,D,menu_soup,0.0,0.0
xgboost,D,temp_mean,0.003915918525308371,0.0039159187240689715
xgboost,D,temp_max,0.004751544911414385,0.0047515451525889435
xgboost,D,temp_min,0.0050566610880196095,0.005056661344680975
xgboost,D,humidity,0.003905009012669325,0.003905009210876191
