feature,gain,gain_share
employees,36516636.75073242,0.05295675362705963
vacation,111748044.71008301,0.1620580151565797
business_trip,71166151.4786377,0.10320579017629906
work_from_home,6748337.566894531,0.00978649957173553
overtime,42069553.560791016,0.061009643312086075
weekday_0,276820438.5258789,0.40144747891262317
weekday_1,1030875.6928710938,0.0014949851614251945
weekday_2,145300.17114257812,0.00021071560937256293
weekday_3,13163817.59375,0.019090286158124612
weekday_4,130146646.55554199,0.18873983231469443
weekday_5,0.0,0.0
weekday_6,0.0,0.0
