feature,gain,gain_share
weekday_0,278003696.4135742,0.39752291131232476
weekday_4,132255730.54052734,0.18911505034089784
vacation,110050750.56811523,0.15736371610276026
business_trip,70424527.0961914,0.10070140577348369
overtime,45975630.05065918,0.06574145071786194
employees,37343873.79382324,0.05339873397983999
weekday_3,14293040.949707031,0.020437898211904445
work_from_home,6621803.23815918,0.009468645688273256
menu_meat,1351653.4516601562,0.001932755650809621
menu_fish,1058151.1220703125,0.0015130709414310328
weekday_1,859813.7216796875,0.0012294644216525794
menu_rice_bowl,451037.0314941406,0.0006449466542433529
menu_special,356466.7702636719,0.0005097187919778949
menu_noodles,114142.9599609375,0.00016321524618139024
weekday_2,98827.490234375,0.0001413153571066721
menu_soup,80914.21081542969,0.00011570080925124798
weekday_5,0.0,0.0
weekday_6,0.0,0.0
