model,group,feature,gain,gain_share
lightgbm,A,employees,29413403.132080078,0.06568800481491385
lightgbm,A,vacation,125098392.70898438,0.27937820678911085
lightgbm,A,business_trip,162436757.00720215,0.36276477184547756
lightgbm,A,work_from_home,0.0,0.0
lightgbm,A,overtime,130825789.13330078,0.2921690165504977
lightgbm,B,employees,23843981.883911133,0.05240003185577267
lightgbm,B,vacation,61973064.947143555,0.13619329997987403
lightgbm,B,business_trip,42566921.52050781,0.09354595446920017
lightgbm,B,work_from_home,0.0,0.0
lightgbm,B,overtime,34683882.76525879,0.07622202409941316
lightgbm,B,weekday_0,193225141.4580078,0.4246356005901722
lightgbm,B,weekday_1,330977.22021484375,0.0007273624416941592
lightgbm,B,weekday_2,82218.14111328125,0.0001806843015748706
lightgbm,B,weekday_3,9894131.142333984,0.021743548941098728
lightgbm,B,weekday_4,88437226.50048828,0.19435149332120003
lightgbm,B,weekday_5,0.0,0.0
lightgbm,B,weekday_6,0.0,0.0
lightgbm,C,employees,24043643.743652344,0.052592947066449874
lightgbm,C,vacation,61982552.14355469,0.13558032712034582
lightgbm,C,business_trip,41975143.369262695,0.09181622040582327
lightgbm,C,work_from_home,0.0,0.0
lightgbm,C,overtime,34447729.11047363,0.07535079179273088
lightgbm,C,weekday_0,193270822.01367188,0.42275963743381584
lightgbm,C,weekday_1,240280.70263671875,0.0005255888171358631
lightgbm,C,weekday_2,74761.46044921875,0.00016353284776373788
lightgbm,C,weekday_3,9889658.581665039,0.021632590128028633
lightgbm,C,weekday_4,88646301.64038086,0.19390448051535192
lightgbm,C,weekday_5,0.0,0.0
lightgbm,C,weekday_6,0.0,0.0
lightgbm,C,menu_meat,1037399.5498046875,0.0022692026296572032
lightgbm,C,menu_fish,787601.7410888672,0.001722796141889528
lightgbm,C,menu_noodles,85147.94921875,0.0001862522017803872
lightgbm,C,menu_special,0.0,0.0
lightgbm,C,menu_rice_bowl,683750.7043457031,0.0014956328992270626
lightgbm,C,menu_soup,0.0,0.0
xgboost,A,employees,0.06095351651310921,0.06095351537776151
xgboost,A,vacation,0.25043928623199463,0.2504392815671995
xgboost,A,business_trip,0.35588735342025757,0.35588734679133915
xgboost,A,work_from_home,0.0,0.0
xgboost,A,overtime,0.3327198624610901,0.3327198562636998
xgboost,B,employees,0.0056760795414447784,0.005676079787255926
xgboost,B,vacation,0.024390090256929398,0.02439009131317888
xgboost,B,business_trip,0.011414862237870693,0.011414862732208443
xgboost,B,work_from_home,0.0,0.0
xgboost,B,overtime,0.011187638156116009,0.011187638640613479
xgboost,B,weekday_0,0.44989198446273804,0.449892003945986
xgboost,B,weekday_1,0.0023571522906422615,0.002357152392722281
xgboost,B,weekday_2,0.006780600640922785,0.006780600934566877
xgboost,B,weekday_3,0.03194249048829079,0.0319424918716083
xgboost,B,weekday_4,0.45635905861854553,0.45635907838185985
xgboost,B,weekday_5,0.0,0.0
xgboost,B,weekday_6,0.0,0.0
xgboost,C,employees,0.005331365391612053,0.0053313652985141615
xgboost,C,vacation,0.02026532217860222,0.020265321824723126
xgboost,C,business_trip,0.011174963787198067,0.011174963592057519
xgboost,C,work_from_home,0.0,0.0
xgboost,C,overtime,0.010468211956322193,0.010468211773523157
xgboost,C,weekday_0,0.4934329688549042,0.49343296023843064
xgboost,C,weekday_1,0.0019569082651287317,0.0019569082309566165
xgboost,C,weekday_2,0.007215679157525301,0.007215679031522961
xgboost,C,weekday_3,0.02795293927192688,0.027952938783804324
xgboost,C,weekday_4,0.4081577956676483,0.4081577885402753
xgboost,C,weekday_5,0.0,0.0
xgboost,C,weekday_6,0.0,0.0
xgboost,C,menu_meat,0.0036357396747916937,0.003635739611303324
xgboost,C,menu_fish,0.0030163414776325226,0.003016341424960269
xgboost,C,menu_noodles,0.0010334006510674953,0.0010334006330219453
xgboost,C,menu_special,0.002394257578998804,0.002394257537189565
xgboost,C,menu_rice_bowl,0.0021992255933582783,0.0021992255549547458
xgboost,C,menu_soup,0.0017648979555815458,0.0017648979247623718
