feature,present,n,mean_diners,mean_participation
menu_meat,0,414,868.6086956521739,0.36767240182796274
menu_meat,1,791,901.7054361567635,0.3810566650361227
menu_fish,0,979,899.3156281920327,0.3789652138519688
menu_fish,1,226,851.429203539823,0.36559846035076193
menu_noodles,0,1110,891.3891891891892,0.3771731159381278
menu_noodles,1,95,878.0105263157894,0.3681056600950293
menu_special,0,1147,889.7619877942459,0.37592449767150116
menu_special,1,58,901.6551724137931,0.38701375122651444
menu_rice_bowl,0,1096,894.9945255474453,0.3787965049004414
menu_rice_bowl,1,109,843.4770642201835,0.35294703696757657
menu_soup,0,37,833.4864864864865,0.3587256965022108
menu_soup,1,1168,892.1352739726027,0.37701998769671907
