year_month,ingredient,average_price,unit
2024-09,두부,3000,kg
2025-09,두부,3000,kg
2026-04,두부,3000,kg
2026-05,두부,3000,kg
2026-06,두부,3000,kg
2026-07,두부,3000,kg
2026-08,두부,3000,kg
2024-09,계란,5000,kg
2025-09,계란,5000,kg
2026-04,계란,5000,kg
2026-05,계란,5000,kg
2026-06,계란,5000,kg
2026-07,계란,5000,kg
2026-08,계란,5000,kg
2024-09,닭고기,9000,kg
2025-09,닭고기,9000,kg
2026-04,닭고기,9000,kg
2026-05,닭고기,9000,kg
2026-06,닭고기,9000,kg
2026-07,닭고기,9000,kg
2026-08,닭고기,9000,kg
2024-09,돼지고기,10000,kg
2025-09,돼지고기,10000,kg
2026-04,돼지고기,10000,kg
2026-05,돼지고기,10000,kg
2026-06,돼지고기,10000,kg
2026-07,돼지고기,10000,kg
2026-08,돼지고기,10000,kg
2024-09,양파,2000,kg
2025-09,양파,2000,kg
2026-04,양파,2000,kg
2026-05,양파,2000,kg
2026-06,양파,2000,kg
2026-07,양파,2000,kg
2026-08,양파,2000,kg
2024-09,간장,4000,kg
2025-09,간장,4000,kg
2026-04,간장,4000,kg
2026-05,간장,4000,kg
2026-06,간장,4000,kg
2026-07,간장,4000,kg
2026-08,간장,4000,kg
2024-09,양배추,1800,kg
2025-09,양배추,1800,kg
2026-04,양배추,1800,kg
2026-05,양배추,1800,kg
2026-06,양배추,1800,kg
2026-07,양배추,1800,kg
2026-08,양배추,1800,kg
2024-09,버섯,5000,kg
2025-09,버섯,5000,kg
2026-04,버섯,5000,kg
2026-05,버섯,5000,kg
2026-06,버섯,5000,kg
2026-07,버섯,5000,kg
2026-08,버섯,5000,kg
2024-09,소금,1000,kg
2025-09,소금,1000,kg
2026-04,소금,1000,kg
2026-05,소금,1000,kg
2026-06,소금,1000,kg
2026-07,소금,1000,kg
2026-08,소금,1000,kg
2024-09,소고기,30000,kg
2025-09,소고기,30000,kg
2026-04,소고기,30000,kg
2026-05,소고기,30000,kg
2026-06,소고기,30000,kg
2026-07,소고기,30000,kg
2026-08,소고기,30000,kg
