date,ingredient,current_price,price_1w_ago,price_2w_ago,price_3w_ago,price_4w_ago,unit
2026-09-17,두부,3000,3000,3000,3000,3000,kg
2026-09-17,계란,6100,5000,5000,5000,5000,kg
2026-09-17,닭고기,9000,9000,9000,9000,9000,kg
2026-09-17,돼지고기,10000,10000,10000,10000,10000,kg
2026-09-17,양파,2000,2000,2000,2000,2000,kg
2026-09-17,간장,4000,4000,4000,4000,4000,kg
2026-09-17,양배추,1800,1800,1800,1800,1800,kg
2026-09-17,버섯,5000,5000,5000,5000,5000,kg
2026-09-17,소금,1000,1000,1000,1000,1000,kg
2026-09-17,소고기,30000,30000,30000,30000,30000,kg
